date	frequency	type
2014-01-08-15-09-56	43.06640625	Major Frequency
2014-01-08-15-09-57	43.06640625	Major Frequency
2014-01-08-15-09-58	0	Major Frequency
2014-01-08-15-10-00	0	Major Frequency
2014-01-08-15-10-02	0	Major Frequency
2014-01-08-15-10-05	0	Major Frequency
2014-01-08-15-10-07	86.1328125	Major Frequency
2014-01-08-15-10-09	0	Major Frequency
2014-01-08-15-10-11	43.06640625	Major Frequency
2014-01-08-15-10-13	43.06640625	Major Frequency
2014-01-08-15-10-15	0	Major Frequency
2014-01-08-15-10-17	0	Major Frequency
2014-01-08-15-10-19	0	Major Frequency
2014-01-08-15-10-21	86.1328125	Major Frequency
2014-01-08-15-10-24	215.33203125	Major Frequency
2014-01-08-15-10-26	0	Major Frequency
2014-01-08-15-10-28	0	Major Frequency
2014-01-08-15-10-30	43.06640625	Major Frequency
2014-01-08-15-10-32	0	Major Frequency
2014-01-08-15-10-34	0	Major Frequency
2014-01-08-15-10-36	0	Major Frequency
2014-01-08-15-10-38	43.06640625	Major Frequency
2014-01-08-15-10-40	0	Major Frequency
2014-01-08-15-10-42	0	Major Frequency
2014-01-08-15-10-45	0	Major Frequency
2014-01-08-15-10-47	0	Major Frequency
2014-01-08-15-10-49	43.06640625	Major Frequency
2014-01-08-15-10-51	0	Major Frequency
2014-01-08-15-10-53	0	Major Frequency
2014-01-08-15-10-55	0	Major Frequency
2014-01-08-15-10-57	0	Major Frequency
2014-01-08-15-10-59	0	Major Frequency
2014-01-08-15-11-01	0	Major Frequency
2014-01-08-15-11-04	0	Major Frequency
2014-01-08-15-11-06	0	Major Frequency
2014-01-08-15-11-08	0	Major Frequency
2014-01-08-15-11-10	129.19921875	Major Frequency
2014-01-08-15-11-12	86.1328125	Major Frequency
2014-01-08-15-11-14	86.1328125	Major Frequency
2014-01-08-15-11-16	0	Major Frequency
2014-01-08-15-11-18	43.06640625	Major Frequency
2014-01-08-15-11-20	0	Major Frequency
2014-01-08-15-11-22	0	Major Frequency
2014-01-08-15-11-25	129.19921875	Major Frequency
2014-01-08-15-11-27	0	Major Frequency
2014-01-08-15-11-29	0	Major Frequency
