date	frequency	type
2014-01-08-07-33-22	0	Major Frequency
2014-01-08-07-33-25	0	Major Frequency
2014-01-08-07-33-27	0	Major Frequency
2014-01-08-07-33-30	0	Major Frequency
2014-01-08-07-33-32	0	Major Frequency
2014-01-08-07-33-34	0	Major Frequency
2014-01-08-07-33-37	215.33203125	Major Frequency
2014-01-08-07-33-40	0	Major Frequency
2014-01-08-07-33-42	0	Major Frequency
2014-01-08-07-33-45	0	Major Frequency
2014-01-08-07-33-47	0	Major Frequency
2014-01-08-07-33-49	0	Major Frequency
2014-01-08-07-33-51	43.06640625	Major Frequency
2014-01-08-07-33-53	0	Major Frequency
2014-01-08-07-33-55	0	Major Frequency
2014-01-08-07-33-57	0	Major Frequency
2014-01-08-07-33-59	86.1328125	Major Frequency
2014-01-08-07-34-01	0	Major Frequency
2014-01-08-07-34-03	43.06640625	Major Frequency
2014-01-08-07-34-06	0	Major Frequency
2014-01-08-07-34-10	86.1328125	Major Frequency
2014-01-08-07-34-13	0	Major Frequency
2014-01-08-07-34-15	86.1328125	Major Frequency
2014-01-08-07-34-17	0	Major Frequency
2014-01-08-07-34-19	43.06640625	Major Frequency
2014-01-08-07-34-22	43.06640625	Major Frequency
2014-01-08-07-34-25	43.06640625	Major Frequency
2014-01-08-07-34-27	43.06640625	Major Frequency
2014-01-08-07-34-29	0	Major Frequency
2014-01-08-07-34-31	0	Major Frequency
2014-01-08-07-34-33	129.19921875	Major Frequency
2014-01-08-07-34-35	0	Major Frequency
2014-01-08-07-34-39	0	Major Frequency
2014-01-08-07-34-42	0	Major Frequency
2014-01-08-07-34-44	0	Major Frequency
2014-01-08-07-34-46	0	Major Frequency
2014-01-08-07-34-49	0	Major Frequency
2014-01-08-07-34-51	43.06640625	Major Frequency
2014-01-08-07-34-53	86.1328125	Major Frequency
2014-01-08-07-34-55	0	Major Frequency
2014-01-08-07-34-57	0	Major Frequency
2014-01-08-07-34-59	0	Major Frequency
2014-01-08-07-35-01	258.3984375	Major Frequency
2014-01-08-07-35-03	86.1328125	Major Frequency
2014-01-08-07-35-05	0	Major Frequency
2014-01-08-07-35-07	0	Major Frequency
2014-01-08-07-35-10	43.06640625	Major Frequency
2014-01-08-07-35-12	0	Major Frequency
2014-01-08-07-35-14	0	Major Frequency
2014-01-08-07-35-16	0	Major Frequency
2014-01-08-07-35-18	0	Major Frequency
2014-01-08-07-35-20	0	Major Frequency
2014-01-08-07-35-22	0	Major Frequency
2014-01-08-07-35-24	0	Major Frequency
2014-01-08-07-35-26	0	Major Frequency
2014-01-08-07-35-29	43.06640625	Major Frequency
2014-01-08-07-35-31	0	Major Frequency
2014-01-08-07-35-33	0	Major Frequency
2014-01-08-07-35-35	0	Major Frequency
2014-01-08-07-35-37	0	Major Frequency
2014-01-08-07-35-39	0	Major Frequency
2014-01-08-07-35-41	129.19921875	Major Frequency
2014-01-08-07-35-43	0	Major Frequency
2014-01-08-07-35-47	86.1328125	Major Frequency
2014-01-08-07-35-50	0	Major Frequency
2014-01-08-07-35-52	0	Major Frequency
2014-01-08-07-35-54	0	Major Frequency
2014-01-08-07-35-57	43.06640625	Major Frequency
2014-01-08-07-36-00	258.3984375	Major Frequency
2014-01-08-07-36-03	0	Major Frequency
2014-01-08-07-36-05	43.06640625	Major Frequency
2014-01-08-07-36-07	0	Major Frequency
2014-01-08-07-36-10	0	Major Frequency
2014-01-08-07-36-12	0	Major Frequency
2014-01-08-07-36-14	0	Major Frequency
2014-01-08-07-36-16	172.265625	Major Frequency
2014-01-08-07-36-20	0	Major Frequency
2014-01-08-07-36-22	0	Major Frequency
2014-01-08-07-36-25	0	Major Frequency
2014-01-08-07-36-27	86.1328125	Major Frequency
2014-01-08-07-36-29	0	Major Frequency
2014-01-08-07-36-31	0	Major Frequency
2014-01-08-07-36-33	0	Major Frequency
2014-01-08-07-36-35	0	Major Frequency
2014-01-08-07-36-37	0	Major Frequency
2014-01-08-07-36-39	0	Major Frequency
2014-01-08-07-36-41	0	Major Frequency
2014-01-08-07-36-43	43.06640625	Major Frequency
2014-01-08-07-36-46	0	Major Frequency
2014-01-08-07-36-48	0	Major Frequency
2014-01-08-07-36-50	0	Major Frequency
2014-01-08-07-36-52	0	Major Frequency
2014-01-08-07-36-54	86.1328125	Major Frequency
2014-01-08-07-36-56	0	Major Frequency
2014-01-08-07-36-58	0	Major Frequency
2014-01-08-07-37-00	0	Major Frequency
2014-01-08-07-37-02	43.06640625	Major Frequency
2014-01-08-07-37-05	129.19921875	Major Frequency
2014-01-08-07-37-07	0	Major Frequency
2014-01-08-07-37-09	0	Major Frequency
2014-01-08-07-37-11	0	Major Frequency
2014-01-08-07-37-13	0	Major Frequency
2014-01-08-07-37-15	0	Major Frequency
2014-01-08-07-37-17	43.06640625	Major Frequency
2014-01-08-07-37-19	0	Major Frequency
2014-01-08-07-37-21	215.33203125	Major Frequency
2014-01-08-07-37-23	0	Major Frequency
2014-01-08-07-37-26	0	Major Frequency
2014-01-08-07-37-28	0	Major Frequency
2014-01-08-07-37-30	0	Major Frequency
2014-01-08-07-37-32	0	Major Frequency
2014-01-08-07-37-36	0	Major Frequency
2014-01-08-07-37-39	86.1328125	Major Frequency
2014-01-08-07-37-41	172.265625	Major Frequency
2014-01-08-07-37-43	0	Major Frequency
2014-01-08-07-37-45	0	Major Frequency
2014-01-08-07-37-47	172.265625	Major Frequency
2014-01-08-07-37-50	0	Major Frequency
2014-01-08-07-37-52	43.06640625	Major Frequency
2014-01-08-07-37-54	43.06640625	Major Frequency
2014-01-08-07-37-56	43.06640625	Major Frequency
2014-01-08-07-37-58	0	Major Frequency
2014-01-08-07-38-00	0	Major Frequency
2014-01-08-07-38-02	0	Major Frequency
2014-01-08-07-38-04	0	Major Frequency
2014-01-08-07-38-06	0	Major Frequency
2014-01-08-07-38-08	43.06640625	Major Frequency
2014-01-08-07-38-11	0	Major Frequency
2014-01-08-07-38-13	0	Major Frequency
2014-01-08-07-38-15	43.06640625	Major Frequency
2014-01-08-07-38-17	0	Major Frequency
2014-01-08-07-38-19	0	Major Frequency
2014-01-08-07-38-21	0	Major Frequency
2014-01-08-07-38-23	0	Major Frequency
2014-01-08-07-38-25	0	Major Frequency
2014-01-08-07-38-27	473.73046875	Major Frequency
2014-01-08-07-38-29	0	Major Frequency
2014-01-08-07-38-32	0	Major Frequency
2014-01-08-07-38-34	0	Major Frequency
2014-01-08-07-38-36	0	Major Frequency
2014-01-08-07-38-38	0	Major Frequency
2014-01-08-07-38-40	0	Major Frequency
2014-01-08-07-38-42	0	Major Frequency
2014-01-08-07-38-44	86.1328125	Major Frequency
2014-01-08-07-38-46	0	Major Frequency
2014-01-08-07-38-48	0	Major Frequency
2014-01-08-07-38-51	0	Major Frequency
2014-01-08-07-38-53	0	Major Frequency
2014-01-08-07-38-55	43.06640625	Major Frequency
2014-01-08-07-38-57	86.1328125	Major Frequency
2014-01-08-07-38-59	0	Major Frequency
2014-01-08-07-39-01	0	Major Frequency
2014-01-08-07-39-03	0	Major Frequency
2014-01-08-07-39-05	0	Major Frequency
2014-01-08-07-39-07	43.06640625	Major Frequency
2014-01-08-07-39-09	86.1328125	Major Frequency
2014-01-08-07-39-12	129.19921875	Major Frequency
2014-01-08-07-39-14	0	Major Frequency
2014-01-08-07-39-16	0	Major Frequency
2014-01-08-07-39-18	86.1328125	Major Frequency
2014-01-08-07-39-20	0	Major Frequency
2014-01-08-07-39-22	43.06640625	Major Frequency
2014-01-08-07-39-24	0	Major Frequency
2014-01-08-07-39-26	43.06640625	Major Frequency
2014-01-08-07-39-28	43.06640625	Major Frequency
2014-01-08-07-39-31	0	Major Frequency
2014-01-08-07-39-33	0	Major Frequency
2014-01-08-07-39-35	0	Major Frequency
2014-01-08-07-39-37	0	Major Frequency
2014-01-08-07-39-39	43.06640625	Major Frequency
2014-01-08-07-39-41	0	Major Frequency
2014-01-08-07-39-43	0	Major Frequency
2014-01-08-07-39-45	43.06640625	Major Frequency
2014-01-08-07-39-47	43.06640625	Major Frequency
2014-01-08-07-39-49	43.06640625	Major Frequency
2014-01-08-07-39-52	0	Major Frequency
2014-01-08-07-39-54	0	Major Frequency
2014-01-08-07-39-56	0	Major Frequency
2014-01-08-07-39-58	0	Major Frequency
2014-01-08-07-40-00	301.46484375	Major Frequency
2014-01-08-07-40-02	0	Major Frequency
2014-01-08-07-40-04	0	Major Frequency
2014-01-08-07-40-06	0	Major Frequency
2014-01-08-07-40-08	43.06640625	Major Frequency
2014-01-08-07-40-11	0	Major Frequency
2014-01-08-07-40-13	0	Major Frequency
